category,filename,width,height,mode,sha256,meaningful_edge_pixels
fauna,Deer_Tick.png,440,440,RGBA,d15f1c87eb94762d07ae0b5aaf432bede056818052324688e13dd2fb1ab6fffc,1760
fauna,Desert_Owl.png,440,440,RGBA,49277c99cea2a98293b1f74c11964297e59d2592d92fd9e43efc2f97a985d561,1760
fauna,Dingo.png,440,440,RGBA,2737fbd26a099febdbe1656c0b0e89a849c35671e99d7069179fa894c60b111a,1760
fauna,Diving_Beetle.png,440,440,RGBA,7f05c9bc2a1cb3c0314d45f13d4b477e2622343caa16c2ecb008d29a0272a5ea,1760
fauna,Dobsonfly.png,440,440,RGBA,67c8868eb02957d79013315c04156bb101157422932d75aa3cdf45eb66644a96,1760
fauna,Dog.png,440,440,RGBA,e1ea4d73595e24b3f8495d10d77710a93640c552c9a2ec3565ab989700a37ee4,1760
fauna,Dolphin.png,440,440,RGBA,7478a4dbebc8af53c10c5b2bd0d87e04c0d370e471524d205bcbeeb9a7c69b84,1760
fauna,Donkey.png,440,440,RGBA,30ce4e018d9612e8b13ecd0e0b0ad3c811e0adadaa1ad8fc6403498dbd05af69,1760
fauna,Dove.png,440,440,RGBA,f67a28e466979d246d706932315bfdaf8714835fe9929fb3c0ff6ddff06df6a1,1760
fauna,Dragonfish.png,440,440,RGBA,9654022fd7728aa13f326befe6ca32214eadcee620bf21ccaf6e576265c66bda,1760
fauna,Dragonfly.png,440,440,RGBA,80bc0b1a3282d3f0a36d7eeadda6fb42a435a2cbb7456ea9e8e34046339723bf,1760
fauna,Dromedary_Camel.png,440,440,RGBA,8dc7e705707d8455e97d71d0f9a6e6b8435ca81ea8663a1d8c3a766847dceefb,1760
fauna,Duck.png,440,440,RGBA,06494a7e0ffa0503e59713d4c056437dc9ad73513d5c51699a2b78b726900559,1760
fauna,Dugong.png,440,440,RGBA,867d48300dd6d7b957abee406c53cddddbf4e5b7c4e346edeedf4c7ee8b0b55a,1760
fauna,Duiker.png,440,440,RGBA,1e0676ca03b6520e575fb3e1a2b7d2672a5c896c1a107cc36a7ee985ef1d39bd,1760
fauna,Dung_Beetle.png,440,440,RGBA,9b0f55edd7d86cff1cf4a218e783daee1f92ce7fc28c0312df03a7b65d3930a0,1760
fauna,Eagle.png,440,440,RGBA,956998a9caa2deaa74176a9acc2b3ea97801d856b553a266d543625362d768e0,1760
fauna,Eagle_Ray.png,440,440,RGBA,995d43f29f11306d203f1d0b1dac0b9a38ce91724ab99abd361a201b34cfa025,1760
fauna,Earthworm.png,440,440,RGBA,551808d4d4d7c9f76e36491fc85679c75d7bf23a5c199bd55cc9639b203c780c,1760
fauna,Echidna.png,440,440,RGBA,e28e5fd8b72960ab5f243580be3a2d4ef32b909c095325b77956799c61195650,1760
